fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220929 051649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	954011	0.0712150435591449	0.810377353019593	3442	238	8735	25650000	110
20220929 051726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	954011	0.0439044875804608	0.322969748431807	3117	74	11362	26160000	111
20220929 052059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	767	TRUE	954011	0.0053757588239468	0.376633831825294	2000	35	8158	26810000	112
20220929 052116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	954011	0.125132692370354	0.89593333051027	49	40	9561	24880000	113
20220929 052201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	954011	0.0596111645977766	0.342804789217982	4726	31	8987	26350000	114
20220929 052218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	954011	0.163481449286193	0.991825152511137	5177	19	11260	25880000	115
20220929 052240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	954011	0.192351164891995	0.904942457157903	7413	298	8888	26550000	116
20220929 052314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	954011	0.0495927839884838	0.368705446908831	2025	112	6427	26350000	117
20220929 052753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	994	TRUE	954011	0.00507889895948064	0.453453612316097	1679	287	9689	26550000	118
20220929 052951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	598	TRUE	954011	0.0188608292774854	0.42887696161021	2196	385	8949	26990000	119
20220929 053107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	349	TRUE	954011	0.0158595447165228	0.629054627199937	4225	757	8629	26030000	120
